Year,Month,Day,Time (in MPH),Speed
2022,06,07,20:24:16,20.96821338554794
2022,06,07,20:24:19,16.23529918389729
2022,06,07,20:24:23,15.728043855157846
2022,06,07,20:26:15,62.92954613653413
2022,06,07,20:26:17,15.725504905330249
2022,06,07,20:26:22,15.726938094816958
2022,06,07,20:27:20,15.728453437499997
2022,06,07,20:39:09,31.456906874999994
2022,06,07,20:39:12,15.726979033215633
2022,06,07,20:39:16,15.727470470595588
2022,06,24,07:59:21,57.6637879640045
2022,06,24,07:59:23,15.839661006358634
2022,06,24,07:59:31,20.973237491014785
2022,06,24,07:59:38,20.969960627460782
2022,06,24,08:00:32,17.334844501526444
2022,06,24,08:00:34,15.842055264148446
2022,06,24,08:00:49,15.72894496703022
2022,06,24,08:00:56,15.11118008408526
2022,06,24,08:01:03,22.367864809012733
2022,06,24,11:25:17,31.454940941191165
2022,06,24,11:25:19,15.727961938689411
2022,06,24,11:25:24,18.41003606113094
2022,06,24,11:44:08,28.95334713952886
2022,06,24,11:44:10,16.106451726455244
2022,06,24,11:44:15,16.01998842758366
2022,06,24,11:44:43,16.88107922518299
2022,06,24,11:45:12,16.10490560604121
2022,06,24,11:52:34,32.469550996709884
2022,06,24,11:52:37,16.77254432151426
2022,06,24,11:52:41,15.0255191401022
2022,06,24,12:18:24,62.68267139921539
2022,06,24,12:18:27,16.427119357681384
2022,06,24,12:18:31,19.979825863903404
2022,06,24,12:18:45,13.11428078956727
2022,06,24,12:18:48,14.975019386908508
2022,06,24,12:18:59,17.177398800581756
2022,06,24,12:18:59,10.60862942236555
2022,06,24,12:19:27,16.973914407122617
